episode,t,cart_pos,cart_vel,pole_angle,pole_ang_vel,action,reward,next_cart_pos,next_cart_vel,next_pole_angle,next_pole_ang_vel,terminated
0,0,0.002138574,0.010384184,-0.0029058203,-0.029675206,0,1.0,0.0023462574,-0.18469597,-0.0034993244,0.2620895,0
0,1,0.0023462574,-0.18469597,-0.0034993244,0.2620895,0,1.0,-0.0013476621,-0.3797678,0.0017424654,0.55366665,0
0,2,-0.0013476621,-0.3797678,0.0017424654,0.55366665,1,1.0,-0.008943018,-0.18467036,0.012815798,0.2615332,0
0,3,-0.008943018,-0.18467036,0.012815798,0.2615332,1,1.0,-0.012636425,0.010266325,0.018046463,-0.02708007,0
0,4,-0.012636425,0.010266325,0.018046463,-0.02708007,1,1.0,-0.012431099,0.20512488,0.017504862,-0.31401494,0
0,5,-0.012431099,0.20512488,0.017504862,-0.31401494,0,1.0,-0.008328601,0.009758009,0.011224561,-0.015863359,0
0,6,-0.008328601,0.009758009,0.011224561,-0.015863359,0,1.0,-0.008133441,-0.18552311,0.010907294,0.2803398,0
0,7,-0.008133441,-0.18552311,0.010907294,0.2803398,1,1.0,-0.011843903,0.009441573,0.01651409,-0.008883131,0
0,8,-0.011843903,0.009441573,0.01651409,-0.008883131,1,1.0,-0.011655072,0.20432284,0.016336428,-0.29631025,0
0,9,-0.011655072,0.20432284,0.016336428,-0.29631025,0,1.0,-0.0075686146,0.00897186,0.010410223,0.0014798169,0
0,10,-0.0075686146,0.00897186,0.010410223,0.0014798169,0,1.0,-0.007389177,-0.18629783,0.01043982,0.29742903,0
0,11,-0.007389177,-0.18629783,0.01043982,0.29742903,1,1.0,-0.011115134,0.008673756,0.0163884,0.00805684,0
0,12,-0.011115134,0.008673756,0.0163884,0.00805684,1,1.0,-0.010941659,0.20355688,0.016549537,-0.27941063,0
0,13,-0.010941659,0.20355688,0.016549537,-0.27941063,0,1.0,-0.006870521,0.00820281,0.010961324,0.018445702,0
0,14,-0.006870521,0.00820281,0.010961324,0.018445702,0,1.0,-0.006706465,-0.18707462,0.011330239,0.3145668,0
0,15,-0.006706465,-0.18707462,0.011330239,0.3145668,1,1.0,-0.010447957,0.007884126,0.017621575,0.025478486,0
0,16,-0.010447957,0.007884126,0.017621575,0.025478486,1,1.0,-0.010290274,0.202749,0.018131144,-0.26159295,0
0,17,-0.010290274,0.202749,0.018131144,-0.26159295,0,1.0,-0.0062352945,0.0073729823,0.012899285,0.03675315,0
0,18,-0.0062352945,0.0073729823,0.012899285,0.03675315,0,1.0,-0.006087835,-0.18793155,0.013634348,0.33347785,0
0,19,-0.006087835,-0.18793155,0.013634348,0.33347785,1,1.0,-0.009846466,0.0069937184,0.020303905,0.04512551,0
0,20,-0.009846466,0.0069937184,0.020303905,0.04512551,1,1.0,-0.009706591,0.20181872,0.021206416,-0.24108283,0
0,21,-0.009706591,0.20181872,0.021206416,-0.24108283,0,1.0,-0.005670217,0.0064003672,0.016384758,0.05821302,0
0,22,-0.005670217,0.0064003672,0.016384758,0.05821302,1,1.0,-0.00554221,0.2012836,0.01754902,-0.22925569,0
0,23,-0.00554221,0.2012836,0.01754902,-0.22925569,0,1.0,-0.0015165376,0.005915329,0.012963905,0.06891074,0
0,24,-0.0015165376,0.005915329,0.012963905,0.06891074,1,1.0,-0.001398231,0.20084904,0.01434212,-0.21965398,0
0,25,-0.001398231,0.20084904,0.01434212,-0.21965398,0,1.0,0.0026187499,0.0055250474,0.009949041,0.07751832,0
0,26,0.0026187499,0.0055250474,0.009949041,0.07751832,0,1.0,0.0027292508,-0.18973811,0.011499407,0.37332353,0
0,27,0.0027292508,-0.18973811,0.011499407,0.37332353,1,1.0,-0.0010655113,0.005218619,0.018965878,0.08428852,0
0,28,-0.0010655113,0.005218619,0.018965878,0.08428852,1,1.0,-0.0009611389,0.20006365,0.020651648,-0.20235081,0
0,29,-0.0009611389,0.20006365,0.020651648,-0.20235081,0,1.0,0.003040134,0.004652521,0.016604632,0.09677452,0
0,30,0.003040134,0.004652521,0.016604632,0.09677452,1,1.0,0.0031331843,0.1995326,0.018540122,-0.19062378,0
0,31,0.0031331843,0.1995326,0.018540122,-0.19062378,0,1.0,0.0071238363,0.00415039,0.0147276465,0.107849665,0
0,32,0.0071238363,0.00415039,0.0147276465,0.107849665,1,1.0,0.007206844,0.19905823,0.01688464,-0.18015061,0
0,33,0.007206844,0.19905823,0.01688464,-0.18015061,0,1.0,0.011188009,0.0036987835,0.013281628,0.11781063,0
0,34,0.011188009,0.0036987835,0.013281628,0.11781063,1,1.0,0.011261985,0.19862795,0.015637841,-0.17065264,0
0,35,0.011261985,0.19862795,0.015637841,-0.17065264,0,1.0,0.015234543,0.0032856984,0.012224788,0.12692223,0
0,36,0.015234543,0.0032856984,0.012224788,0.12692223,1,1.0,0.015300257,0.1982304,0.014763232,-0.16187897,0
0,37,0.015300257,0.1982304,0.014763232,-0.16187897,0,1.0,0.019264866,0.0029002517,0.011525653,0.13542457,0
0,38,0.019264866,0.0029002517,0.011525653,0.13542457,1,1.0,0.01932287,0.19785523,0.014234144,-0.15360002,0
0,39,0.01932287,0.19785523,0.014234144,-0.15360002,0,1.0,0.023279974,0.002532395,0.011162144,0.14353925,0
0,40,0.023279974,0.002532395,0.011162144,0.14353925,1,1.0,0.023330623,0.19749272,0.014032929,-0.14560142,0
0,41,0.023330623,0.19749272,0.014032929,-0.14560142,0,1.0,0.027280478,0.002172652,0.0111209005,0.15147538,0
0,42,0.027280478,0.002172652,0.0111209005,0.15147538,1,1.0,0.02732393,0.19713362,0.014150408,-0.13767849,0
0,43,0.02732393,0.19713362,0.014150408,-0.13767849,0,1.0,0.031266604,0.0018118727,0.011396838,0.15943487,0
0,44,0.031266604,0.0018118727,0.011396838,0.15943487,1,1.0,0.03130284,0.19676882,0.014585536,-0.12963097,0
0,45,0.03130284,0.19676882,0.014585536,-0.12963097,0,1.0,0.035238218,0.0014410005,0.011992916,0.16761759,0
0,46,0.035238218,0.0014410005,0.011992916,0.16761759,1,1.0,0.035267036,0.19638924,0.015345269,-0.121257916,0
0,47,0.035267036,0.19638924,0.015345269,-0.121257916,0,1.0,0.039194822,0.0010508446,0.0129201105,0.17622653,0
0,48,0.039194822,0.0010508446,0.0129201105,0.17622653,1,1.0,0.039215837,0.19598554,0.01644464,-0.11235269,0
0,49,0.039215837,0.19598554,0.01644464,-0.11235269,0,1.0,0.04313555,0.0006318525,0.014197587,0.18547271,0
0,50,0.04313555,0.0006318525,0.014197587,0.18547271,1,1.0,0.043148186,0.19554782,0.01790704,-0.10269782,0
0,51,0.043148186,0.19554782,0.01790704,-0.10269782,0,1.0,0.04705914,0.00017387708,0.015853085,0.1955805,0
0,52,0.04705914,0.00017387708,0.015853085,0.1955805,1,1.0,0.04706262,0.19506551,0.019764695,-0.09205962,0
0,53,0.04706262,0.19506551,0.019764695,-0.09205962,0,1.0,0.05096393,-0.00033406622,0.017923502,0.20679295,0
0,54,0.05096393,-0.00033406622,0.017923502,0.20679295,1,1.0,0.050957248,0.19452706,0.02205936,-0.08018256,0
0,55,0.050957248,0.19452706,0.02205936,-0.08018256,0,1.0,0.05484779,-0.0009040578,0.02045571,0.21937773,0
0,56,0.05484779,-0.0009040578,0.02045571,0.21937773,1,1.0,0.05482971,0.19391961,0.024843264,-0.06678308,0
0,57,0.05482971,0.19391961,0.024843264,-0.06678308,0,1.0,0.0587081,-0.001549553,0.023507603,0.23363335,0
0,58,0.0587081,-0.001549553,0.023507603,0.23363335,1,1.0,0.05867711,0.19322877,0.02818027,-0.051542804,0
0,59,0.05867711,0.19322877,0.02818027,-0.051542804,1,1.0,0.062541686,0.38793555,0.027149415,-0.3352031,0
0,60,0.062541686,0.38793555,0.027149415,-0.3352031,0,1.0,0.0703004,0.19243795,0.02044535,-0.03408383,0
0,61,0.0703004,0.19243795,0.02044535,-0.03408383,0,1.0,0.074149154,-0.0029711444,0.019763675,0.26497906,0
0,62,0.074149154,-0.0029711444,0.019763675,0.26497906,1,1.0,0.074089736,0.19186322,0.025063256,-0.021405283,0
0,63,0.074089736,0.19186322,0.025063256,-0.021405283,1,1.0,0.07792699,0.38661695,0.024635151,-0.3060763,0
0,64,0.07792699,0.38661695,0.024635151,-0.3060763,0,1.0,0.08565933,0.19115277,0.018513625,-0.005726976,0
0,65,0.08565933,0.19115277,0.018513625,-0.005726976,0,1.0,0.08948239,-0.00422974,0.018399086,0.29273924,0
0,66,0.08948239,-0.00422974,0.018399086,0.29273924,1,1.0,0.089397795,0.19062512,0.02425387,0.0059154658,0
0,67,0.089397795,0.19062512,0.02425387,0.0059154658,1,1.0,0.0932103,0.385391,0.024372179,-0.27901748,0
0,68,0.0932103,0.385391,0.024372179,-0.27901748,0,1.0,0.10091812,0.18992998,0.01879183,0.021251662,0
0,69,0.10091812,0.18992998,0.01879183,0.021251662,0,1.0,0.10471672,-0.0054563503,0.019216863,0.3198039,0
0,70,0.10471672,-0.0054563503,0.019216863,0.3198039,1,1.0,0.10460759,0.18938673,0.025612941,0.03324265,0
0,71,0.10460759,0.18938673,0.025612941,0.03324265,1,1.0,0.10839532,0.38413218,0.026277794,-0.25125036,0
0,72,0.10839532,0.38413218,0.026277794,-0.25125036,0,1.0,0.11607797,0.18864505,0.021252787,0.049603913,0
0,73,0.11607797,0.18864505,0.021252787,0.049603913,1,1.0,0.11985087,0.3834559,0.022244865,-0.23629853,0
0,74,0.11985087,0.3834559,0.022244865,-0.23629853,0,1.0,0.12752,0.18802331,0.017518895,0.06331726,0
0,75,0.12752,0.18802331,0.017518895,0.06331726,1,1.0,0.13128045,0.38288978,0.01878524,-0.22378726,0
0,76,0.13128045,0.38288978,0.01878524,-0.22378726,0,1.0,0.13893825,0.18750444,0.014309494,0.074761555,0
0,77,0.13893825,0.18750444,0.014309494,0.074761555,0,1.0,0.14268833,-0.007819702,0.015804725,0.3719246,0
0,78,0.14268833,-0.007819702,0.015804725,0.3719246,1,1.0,0.14253195,0.1870742,0.023243217,0.08426668,0
0,79,0.14253195,0.1870742,0.023243217,0.08426668,1,1.0,0.14627343,0.3818554,0.024928551,-0.2009933,0
0,80,0.14627343,0.3818554,0.024928551,-0.2009933,0,1.0,0.15391053,0.18638594,0.020908685,0.099448,0
0,81,0.15391053,0.18638594,0.020908685,0.099448,1,1.0,0.15763825,0.3812021,0.022897646,-0.18656564,0
0,82,0.15763825,0.3812021,0.022897646,-0.18656564,0,1.0,0.1652623,0.18576014,0.019166332,0.11325175,0
0,83,0.1652623,0.18576014,0.019166332,0.11325175,1,1.0,0.1689775,0.3806023,0.021431368,-0.17332323,0
0,84,0.1689775,0.3806023,0.021431368,-0.17332323,0,1.0,0.17658955,0.18518028,0.017964903,0.12604283,0
0,85,0.17658955,0.18518028,0.017964903,0.12604283,1,1.0,0.18029316,0.38004032,0.020485759,-0.16091868,0
0,86,0.18029316,0.38004032,0.020485759,-0.16091868,0,1.0,0.18789396,0.18463117,0.017267385,0.13815594,0
0,87,0.18789396,0.18463117,0.017267385,0.13815594,1,1.0,0.19158658,0.37950158,0.020030504,-0.14902978,0
0,88,0.19158658,0.37950158,0.020030504,-0.14902978,0,1.0,0.19917661,0.18409862,0.017049909,0.14990446,0
0,89,0.19917661,0.18409862,0.017049909,0.14990446,1,1.0,0.20285858,0.37897232,0.020047998,-0.13735119,0
0,90,0.20285858,0.37897232,0.020047998,-0.13735119,0,1.0,0.21043803,0.18356906,0.017300975,0.16158855,0
0,91,0.21043803,0.18356906,0.017300975,0.16158855,1,1.0,0.2141094,0.3784391,0.020532746,-0.12558655,0
